Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Zimbabwe,ZWE,1.536212158,1.139200872,0.405715639,0.552146242,0.66475077,0.529703431,0.775563675,0.779955845,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Arab World,ARB,2.989008072,3.684441272,4.542151451,4.615758201,4.537755236,4.813630727,4.650474168,4.860233832,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Caribbean small states,CSS,5.246910878,6.506692171,8.915001641,9.27710945,9.143734221,8.886377531,9.138025489,8.884541385,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Central Europe and the Baltics,CEB,9.014576307,6.603843282,6.515508665,6.828033565,6.864349465,6.504366995,6.344838262,6.14888254,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Early-demographic dividend,EAR,1.403256019,1.712111905,2.128522377,2.119826541,2.201370084,2.295942682,2.210865063,2.295302152,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific,EAS,2.582343448,3.198372648,5.305318267,5.701782638,6.190022864,6.307117957,6.330498005,6.293604976,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (excluding high income),EAP,1.785121568,2.311330946,4.726377843,5.106044509,5.641636355,5.773224485,5.790459749,5.775478345,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,East Asia & Pacific (IDA & IBRD countries),TEA,1.781513189,2.302168263,4.749791487,5.136588056,5.688487869,5.821253522,5.845317569,5.827867179,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Euro area,EMU,..,8.207013725,7.284917549,7.425634257,7.16146999,6.997097054,6.844462028,6.474920548,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia,ECS,..,7.606872486,7.218975753,7.542938641,7.500065132,7.473206993,7.289242461,6.916049326,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (excluding high income),ECA,..,6.865176238,7.085747543,7.555768031,7.883872362,7.999170481,7.733275947,7.421328159,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Europe & Central Asia (IDA & IBRD countries),TEC,..,6.923044305,7.125775793,7.592355112,7.889579095,7.95164336,7.716044877,7.39596064,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,European Union,EUU,8.579003602,8.012731657,7.157409612,7.356304954,7.07946092,6.917802512,6.75382527,6.379148848,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Fragile and conflict affected situations,FCS,0.741506442,0.765812137,0.820861629,0.842662477,0.825987786,0.841904675,0.880020574,0.886959024,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Heavily indebted poor countries (HIPC),HPC,0.169466571,0.162257814,0.20326954,0.221203409,0.232659952,0.240601121,0.254597359,0.26534215,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,High income,HIC,11.14530897,11.93456937,10.96132724,11.27029811,11.02956715,10.85743975,10.77435126,10.71269229,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IBRD only,IBD,2.594813408,2.636960408,3.91315477,4.12173559,4.409296426,4.522700296,4.500928552,4.508560979,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA & IBRD total,IBT,2.184628676,2.178481754,3.11607541,3.271260644,3.484817554,3.560119294,3.535432676,3.529660952,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA blend,IDB,0.935139054,0.963794692,0.890379578,0.907667614,0.939870757,0.937521858,0.930803298,0.880445467,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA only,IDX,0.25778959,0.256610247,0.315627497,0.332242203,0.335718672,0.325675765,0.336241561,0.348440393,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,IDA total,IDA,0.490587432,0.494096652,0.506682532,0.523641434,0.536908204,0.529591478,0.534503758,0.525891424,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Late-demographic dividend,LTE,3.369666133,3.40141701,5.628399421,6.076883391,6.553544469,6.703792068,6.770471226,6.744762333,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & Caribbean,LCN,2.275302602,2.585980376,2.792732554,2.90513625,2.930914491,3.02585131,3.036040096,3.063307099,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & Caribbean (excluding high income),LAC,2.122830336,2.380762057,2.51889322,2.622306065,2.634371722,2.745712339,2.763729253,2.781101756,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latin America & the Caribbean (IDA & IBRD countries),TLA,2.230963695,2.565223005,2.765484547,2.864983989,2.894576438,2.992217172,3.005565912,3.032804906,..,..,..,..
